Scraper             Time                            Message
(TSA Scraper)		2020-07-22 19:13:00.518642:		Requesting data...
(TSA Scraper)		2020-07-22 19:13:00.836213:		Data received
(TSA Scraper)		2020-07-22 19:13:00.836213:		Updating csv file..
(TSA Scraper)		2020-07-22 19:13:01.237142:		Adding 0 date(s) to csv file...
(TSA Scraper)		2020-07-22 19:13:01.242128:		Data written to csv
(TSA Scraper)		2020-07-22 19:13:01.242128:		Finished script
(Covid-19 Scraper)	2020-07-22 19:13:01.243127:		Running script
(Covid-19 Scraper)	2020-07-22 19:13:01.245120:		Requesting data...
(Covid-19 Scraper)	2020-07-22 19:13:02.563593:		Data received
(Covid-19 Scraper)	2020-07-22 19:13:02.563593:		Updating csv file..
